Возраст,Как давно вы занимаетесь самообразованием?,Длительность самообразования,Сколько часов в неделю вы уделяете самообразованию?,Насколько вы довольны существующими приложениями и сервисами для самообразования?,Какую сумму вы прямо сейчас инвестируете в свое самообразование ежемесячно?,Инвестиции,XXXXX,Смена работы,Интересно,Карьерный рост,Выучить язык,Рост доходов,Держать мозг в тонусе,XXXXX,Ничего,Нет плана,Мало практики,Прокрастинация,Усталость,Лень,Мало времени,Недостаток дисциплины,Отсутствие преподавателя,Отсутствие центра верификации,Копирайт,Дорого,Спам,Нет единомышленников,Отсутствие удобства,Плохой тайм менеджмент,Отсутствие мотивации,XXXXX,"Точные науки \(математика, физика и тд\)",Гуманитарные науки,Химия и Биология,Психология \(и проч. связанное с этим\),"Творчество \(писательство, музыка\)",IT технологии,Бизнес и менеджмент,Английский \(или другие языки\),email
23-30,Менее 5 лет,3,3,4,до 1000р,"1,000 ₽",XXXXX,0,0,1,0,0,0,XXXXX,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,0,1
30-60,Больше 5 лет,5,3,3,до 10000р,"10,000 ₽",XXXXX,1,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,1,1,1,1
23-30,Менее 5 лет,3,10,3,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,1,0,XXXXX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,0,0,1,
23-30,Больше 5 лет,5,4,4,до 5000р,"5,000 ₽",XXXXX,0,1,1,0,0,0,XXXXX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,0,1,0,0,1,0,0,1,1
30-60,Больше 5 лет,5,2,3,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,1,0,XXXXX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,XXXXX,1,0,1,1,0,1,0,1,
30-60,Больше 5 лет,5,3,3,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,XXXXX,1,0,0,1,0,1,0,1,1
30-60,Менее 1 года,1,3,3,до 5000р,"5,000 ₽",XXXXX,1,0,0,0,0,0,XXXXX,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,1,1
30-60,Менее 5 лет,5,7,4,до 1000р,"1,000 ₽",XXXXX,0,1,1,0,0,0,XXXXX,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,1,
30-60,Менее 1 года,1,2,3,до 5000р,"5,000 ₽",XXXXX,0,0,0,1,0,0,XXXXX,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,0,0,1,
18-23,Менее 1 года,1,10,5,до 1000р,"1,000 ₽",XXXXX,1,0,0,0,0,0,XXXXX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,XXXXX,1,1,0,0,0,1,0,1,1
30-60,Больше 5 лет,5,1,1,до 10000р,"10,000 ₽",XXXXX,0,0,1,0,0,0,XXXXX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,XXXXX,1,1,0,1,0,1,1,1,1
23-30,Менее 5 лет,3,2,3,до 10000р,"10,000 ₽",XXXXX,0,0,1,0,0,0,XXXXX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,1,0,0,1
23-30,Менее 1 года,1,2,3,до 1000р,"1,000 ₽",XXXXX,0,0,1,0,0,0,XXXXX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,XXXXX,1,0,0,0,0,1,1,1,1
30-60,Больше 5 лет,5,10,1,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,0,1,XXXXX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,XXXXX,0,0,0,0,0,0,0,0,
30-60,Больше 5 лет,5,10,4,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,0,1,XXXXX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,0,0,0,0,0,
18-23,Больше 5 лет,5,10,2,до 10000р,"10,000 ₽",XXXXX,1,1,0,0,0,0,XXXXX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XXXXX,0,1,1,1,1,1,1,1,1
23-30,Больше 5 лет,5,1,1,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,1,0,XXXXX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,0,0,0,1,1,0,0,0,1
23-30,Больше 5 лет,5,5,3,до 1000р,"1,000 ₽",XXXXX,0,1,1,0,0,0,XXXXX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XXXXX,1,0,0,0,0,1,1,1,1
30-60,Больше 5 лет,5,1,4,до 1000р,"1,000 ₽",XXXXX,1,0,0,0,0,0,XXXXX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,XXXXX,0,0,0,1,1,1,0,1,
30-60,Больше 5 лет,5,4,3,до 1000р,"1,000 ₽",XXXXX,0,0,0,0,1,0,XXXXX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,1,0,0,0,0,1,1,1,1
18-23,Менее 5 лет,3,3,4,до 1000р,"1,000 ₽",XXXXX,0,1,1,0,0,0,XXXXX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,XXXXX,1,1,0,0,0,1,1,1,1
